@relation JM1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
3,1,0,0,1,1,1,12,57.51,4.26,1046,0.08,55,0.23,58.11,245.27,29,26,17,5,17,N
3,3,0,0,2,1,1,9,20.01,12.6,3177.38,0.08,55,0.08,176.52,252.17,18,37,10,14,14,N
1,5,0,0,3,1,1,10,16.47,8.44,1172.59,0.05,34,0.12,65.14,138.97,15,19,8,9,13,N
5,9,0,4,5,5,1,22,29.77,9,2411.64,0.09,62,0.11,133.98,267.96,27,35,12,8,34,N
4,1,0,0,1,1,1,10,26.54,5.5,802.71,0.05,35,0.18,44.6,145.95,11,24,9,9,14,Y
4,5,0,4,3,3,1,13,17.74,9.5,1601.27,0.06,39,0.11,88.96,168.56,19,20,10,10,23,N
3,9,0,0,5,3,1,24,37.19,17.05,10812.04,0.21,128,0.06,600.67,634.14,62,66,20,11,29,N
1,15,0,17,8,6,1,42,18.59,38.18,27100.17,0.24,151,0.03,1505.57,709.77,56,95,11,15,64,N
0,1,0,0,1,1,1,2,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,3,5,2,5,4,Y
10,11,0,8,6,4,1,29,33.66,14.29,6868.61,0.16,93,0.07,381.59,480.8,40,53,21,15,49,N
3,3,1,0,2,1,1,16,54.87,10.02,5506.63,0.18,104,0.1,305.92,549.68,51,53,28,11,20,N
0,5,0,0,3,1,1,13,24.91,2.92,211.89,0.02,21,0.34,11.77,72.65,7,14,6,5,15,N
2,8,0,0,5,3,1,23,24.52,13.33,4359.69,0.11,66,0.08,242.21,326.98,25,41,15,16,27,N
0,9,0,0,5,1,1,10,12.64,12,1820.62,0.05,41,0.08,101.15,151.72,15,26,5,8,12,N
4,3,0,0,2,2,1,12,19.11,16.8,5394.13,0.11,72,0.06,299.67,321.08,28,44,10,12,18,N
4,5,0,3,3,3,1,9,23.84,8.73,1816,0.07,46,0.11,100.89,208.08,16,30,11,12,18,N
2,31,0,0,16,15,16,53,37.55,31.86,38122.89,0.4,212,0.03,2117.94,1196.5,88,124,29,21,57,N
6,7,1,3,4,2,3,23,29.48,10,2948.03,0.1,62,0.1,163.78,294.8,25,37,15,12,35,Y
10,23,0,0,12,12,1,15,8.11,102,84456,0.28,207,0.01,4692,828,68,139,4,12,27,N
6,17,0,7,10,4,1,43,26.46,19.97,10555.04,0.18,98,0.05,586.39,528.45,33,65,19,23,58,N
5,7,0,1,4,2,1,20,22.54,18.67,7852.9,0.14,93,0.05,436.27,420.69,24,69,9,14,30,N
6,31,0,4,16,6,16,49,55.98,23.24,30219.93,0.43,226,0.04,1678.88,1300.6,79,147,34,20,62,N
5,15,3,9,8,7,6,46,54.87,30,49382.78,0.55,281,0.03,2743.49,1646.09,114,167,38,20,65,N
0,1,0,0,1,1,1,9,40.06,5,1001.43,0.07,49,0.2,55.63,200.29,24,25,12,5,11,N
8,21,0,0,11,9,3,139,98.09,39.67,154335.05,1.3,595,0.03,8574.17,3890.8,272,323,72,21,152,N
9,19,7,4,10,6,6,30,37.52,17.5,11490.16,0.22,127,0.06,638.34,656.58,55,72,22,14,53,Y
1,1,0,2,1,1,1,8,13.54,9,1096.52,0.04,32,0.11,60.92,121.84,10,22,5,9,13,N
1,5,0,0,3,3,1,17,55.21,7.13,2806.18,0.13,75,0.14,155.9,393.59,35,40,27,11,20,N
0,1,0,0,1,1,1,4,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,4,N
5,23,0,4,12,5,4,36,14.64,46.67,31880.77,0.23,149,0.02,1771.15,683.16,56,93,9,15,47,N
0,1,0,0,1,1,1,2,11.07,3,99.66,0.01,10,0.33,5.54,33.22,4,6,4,6,4,Y
1,3,0,0,2,2,1,14,18.13,23.33,9871.1,0.14,88,0.04,548.39,423.05,35,53,12,16,17,N
3,15,0,0,8,5,6,31,35.8,12.93,5988.9,0.15,87,0.08,332.72,463.01,35,52,23,17,36,N
2,5,0,0,3,3,1,14,16.81,13,2840.66,0.07,49,0.08,157.81,218.51,18,31,9,13,18,N
2,3,0,1,2,2,1,7,26.21,4.77,597.06,0.04,30,0.21,33.17,125.1,15,15,11,7,12,Y
5,16,12,5,14,2,1,36,44.4,15.92,11252.67,0.24,124,0.06,625.15,706.85,47,77,31,21,60,Y
1,9,0,0,5,3,5,16,14.72,14.62,3147.64,0.07,49,0.07,174.87,215.22,18,31,8,13,19,N
5,25,2,0,13,9,1,44,49.37,20.58,20918.07,0.34,181,0.05,1162.11,1016.26,65,116,30,19,53,N
5,7,0,2,4,1,1,12,9.97,12.6,1583.1,0.04,33,0.08,87.95,125.64,14,19,5,9,21,N
1,7,0,0,4,1,3,10,12.94,11.38,1673.96,0.05,33,0.09,93,147.16,13,20,8,14,13,N
3,17,0,2,9,4,9,17,17.57,26.25,12107.75,0.15,94,0.04,672.65,461.25,35,59,12,18,25,N
7,3,0,2,2,1,1,24,28.49,23.22,15363.84,0.22,127,0.04,853.55,661.6,44,83,18,19,36,N
1,3,0,0,2,2,1,6,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,4,7,4,5,9,N
6,7,0,10,4,2,4,13,30.81,23.85,17522.83,0.24,140,0.04,973.49,734.71,53,87,20,18,36,N
14,1,0,5,1,1,1,12,24.82,8.73,1890.71,0.07,51,0.11,105.04,216.64,24,27,11,8,33,Y
2,1,0,4,1,1,1,4,17.41,3.5,213.21,0.02,16,0.29,11.85,60.92,7,9,7,7,12,N
1,1,0,0,1,1,1,6,28.56,6.55,1223.4,0.06,44,0.15,67.97,186.91,18,26,11,8,9,N
3,5,0,0,3,2,1,26,39.2,11.87,5522.83,0.16,90,0.08,306.82,465.29,42,48,23,13,31,N
13,37,2,1,19,18,12,127,151.54,17.22,44953.74,0.87,392,0.06,2497.43,2610.02,183,209,85,16,145,Y
4,13,0,0,7,5,1,46,28.6,29.57,25007.5,0.28,160,0.03,1389.31,845.66,69,91,21,18,52,Y
7,1,0,1,1,1,1,17,43.55,9.28,3751.16,0.13,85,0.11,208.4,404.17,27,58,16,11,28,Y
0,11,0,0,6,4,3,16,15.01,15,3377.64,0.08,54,0.07,187.65,225.18,24,30,8,10,18,N
1,3,0,0,2,2,1,12,24.38,7.5,1371.28,0.06,41,0.13,76.18,182.84,18,23,12,10,15,Y
3,1,0,0,1,1,1,4,13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,6,8,5,6,9,N
5,1,0,0,1,1,1,17,65.65,6.36,2658.64,0.14,86,0.16,147.7,417.79,40,46,22,7,24,N
4,1,1,0,1,1,1,10,34.61,9.82,3336.55,0.11,80,0.1,185.36,339.83,27,53,11,8,17,N
9,13,0,0,7,5,3,35,30.34,21.47,13988.36,0.22,127,0.05,777.13,651.42,51,76,19,16,46,N
4,5,0,0,3,3,1,16,38.34,12.89,6374.52,0.16,98,0.08,354.14,494.35,35,63,19,14,22,N
2,9,3,1,5,3,5,14,17.89,18.46,6098.63,0.11,68,0.05,338.81,330.34,30,38,13,16,22,N
3,7,1,4,4,1,3,14,11.48,15.17,2641.5,0.06,41,0.07,146.75,174.17,14,27,6,13,25,N
10,1,0,12,1,1,1,46,56.78,22.67,29171.77,0.43,233,0.04,1620.65,1286.99,85,148,30,16,78,N
2,5,0,0,3,3,1,12,21.53,10.08,2189.4,0.07,48,0.1,121.63,217.13,22,26,12,11,16,N
3,7,0,0,4,1,4,14,15.93,12,2293.88,0.06,45,0.08,127.44,191.16,14,31,7,12,19,N
13,11,4,10,6,4,1,47,22.59,41.11,38187.42,0.31,177,0.02,2121.52,928.88,74,103,18,20,76,N
4,3,0,0,2,1,1,8,14.3,7,700.55,0.03,24,0.14,38.92,100.08,7,17,6,12,14,N
7,15,0,0,8,3,4,25,15.99,31.17,15528.69,0.17,106,0.03,862.7,498.25,33,73,9,17,34,N
4,3,0,0,2,2,1,14,18.47,13.5,3366.03,0.08,61,0.07,187,249.34,24,37,8,9,22,N
2,9,0,0,5,2,5,13,13.27,19,4791.29,0.08,55,0.05,266.18,252.17,19,36,8,16,17,N
11,17,0,1,9,5,3,46,25.68,43.45,48482.41,0.37,202,0.02,2693.47,1115.76,73,129,21,25,60,N
7,17,0,9,9,6,1,33,24.07,22.94,12668.16,0.18,106,0.04,703.79,552.2,39,67,17,20,51,N
1,7,0,0,4,4,1,35,45.1,17.78,14247.85,0.27,165,0.06,791.55,801.57,79,86,20,9,38,N
1,1,0,0,1,1,1,4,13.32,3.5,163.12,0.02,13,0.29,9.06,46.6,5,8,5,7,7,N
3,5,0,0,3,3,1,19,39.4,7.87,2439.21,0.1,62,0.13,135.51,310,23,39,19,13,24,N
0,17,0,0,9,3,7,3,33.18,55,100375,0.61,365,0.02,5576.39,1825,66,299,12,20,8,N
10,17,0,25,9,9,5,45,90.41,7.56,5170.55,0.23,126,0.13,287.25,683.71,44,82,32,11,82,N
8,18,7,3,14,14,1,59,50.52,30.64,47424.91,0.52,247,0.03,2634.72,1547.9,96,151,47,30,79,Y
2,7,0,0,4,4,1,9,10.4,10,1040,0.03,26,0.1,57.78,104,12,14,6,10,13,N
4,5,0,2,3,3,1,19,48.25,6.18,1840.73,0.1,65,0.16,102.26,298.02,30,35,17,7,27,N
1,3,0,0,2,2,1,14,36.8,7.33,1979.11,0.09,55,0.14,109.95,269.88,22,33,18,12,19,N
0,3,0,0,2,2,1,5,7.97,5.83,271.29,0.02,14,0.17,15.07,46.51,5,9,3,7,7,N
1,15,0,0,8,7,8,47,44.27,19.09,16135.47,0.28,149,0.05,896.42,845.19,70,79,33,18,52,N
2,5,0,1,3,2,3,6,17.36,6.72,784.43,0.04,27,0.15,43.58,116.69,11,16,9,11,11,Y
0,3,0,0,2,2,1,6,26.54,3.85,393.42,0.03,25,0.26,21.86,102.19,11,14,10,7,8,N
4,7,1,0,4,2,1,13,21.09,10,2109.08,0.07,46,0.1,117.17,210.91,20,26,12,12,20,N
43,60,0,2,37,33,9,208,77.06,49.6,189602.1,1.27,567,0.02,10533.45,3822.41,213,354,73,34,255,N
5,40,0,5,39,2,1,85,63.25,23.83,35923.67,0.5,215,0.04,1995.76,1507.41,86,129,83,46,97,N
0,13,0,0,9,5,1,39,24.66,57.14,80527.27,0.47,277,0.02,4473.74,1409.23,80,197,14,20,41,N
2,11,0,0,6,3,6,27,15.61,22.55,7932.88,0.12,74,0.04,440.72,351.86,31,43,11,16,36,Y
1,9,0,0,5,2,4,9,17.84,6.67,792.95,0.04,28,0.15,44.05,118.94,12,16,9,10,12,Y
3,1,0,0,1,1,1,7,21.81,6.5,921.55,0.05,34,0.15,51.2,141.78,13,21,9,9,12,N
4,3,0,0,2,2,1,14,37.07,7.2,1921.61,0.09,59,0.14,106.76,266.89,27,32,15,8,22,N
5,3,0,3,2,2,1,12,39.23,4.27,714.12,0.06,37,0.23,39.67,167.37,16,21,15,8,24,N
5,7,0,0,4,4,1,43,56.19,15.97,14330.78,0.3,159,0.06,796.15,897.37,62,97,33,17,50,N
10,57,5,0,29,18,21,106,76.79,39.29,118507.5,1.01,467,0.03,6583.75,3016.55,198,269,63,25,123,Y
2,18,0,0,12,2,3,48,22.15,21.25,10001.28,0.16,95,0.05,555.63,470.65,35,60,14,17,56,N
9,1,0,0,1,1,1,9,19.86,12.14,2928.38,0.08,59,0.08,162.69,241.16,17,42,7,10,20,N
16,43,5,29,22,12,11,90,62.99,32.18,65236.57,0.68,333,0.03,3624.25,2027.13,118,215,44,24,142,Y
5,5,0,3,3,2,3,15,35.73,17.22,10597.55,0.21,128,0.06,588.75,615.34,62,66,18,10,25,N
4,9,0,0,5,3,1,26,30.28,15.58,7353.68,0.16,92,0.06,408.54,471.89,33,59,18,17,32,N
7,83,0,26,42,24,35,78,92.16,85.5,673693.46,2.63,1265,0.01,37427.41,7879.46,304,961,48,27,113,N
0,6,0,0,5,5,1,17,25.66,9.17,2156.23,0.08,52,0.11,119.79,235.23,20,32,12,11,19,N
10,3,0,9,2,2,1,30,60.18,12.09,8797.96,0.24,131,0.08,488.78,727.65,57,74,33,14,52,N
12,7,1,1,4,2,1,56,72.82,24.81,44839.15,0.6,291,0.04,2491.06,1806.95,134,157,54,20,72,N
1,7,0,0,4,3,1,10,20.32,15.58,4934.45,0.11,70,0.06,274.14,316.65,34,36,12,11,13,N
2,1,0,0,1,1,1,2,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,7,N
5,7,0,5,4,3,1,30,50.91,15.46,12171.15,0.26,150,0.06,676.18,787.19,67,83,26,12,42,N
6,15,0,0,8,7,5,39,24.98,26.71,17829.93,0.22,123,0.04,990.55,667.43,51,72,21,22,47,N
1,15,0,0,8,6,1,15,21.71,29.77,19232.47,0.22,127,0.03,1068.47,646.11,47,80,15,19,18,N
8,21,0,3,11,4,9,53,24.12,55.82,75153.05,0.45,253,0.02,4175.17,1346.45,101,152,19,21,67,N
1,5,0,0,3,2,3,8,10.99,6.4,449.97,0.02,19,0.16,25,70.31,8,11,5,8,11,N
2,3,0,0,2,1,1,10,37.87,13.61,7009.75,0.17,105,0.07,389.43,515.22,47,58,19,11,14,N
1,5,0,0,3,2,3,6,13.71,5.83,466.67,0.03,20,0.17,25.93,80,7,13,6,10,10,N
9,19,0,1,10,5,1,50,43.97,15.17,10113.29,0.22,128,0.07,561.85,666.81,56,72,24,13,62,N
19,3,0,2,2,2,1,107,145.24,18.01,47126.42,0.87,404,0.06,2618.13,2616.2,193,211,75,14,130,N
0,1,0,0,1,1,1,10,56.69,5.5,1714.78,0.1,68,0.18,95.27,311.78,33,35,18,6,12,N
12,69,0,17,35,19,35,110,96.33,42.37,172952.06,1.36,592,0.02,9608.45,4081.73,263,329,90,29,139,Y
3,11,3,0,10,1,1,33,37.94,11.81,5290.82,0.15,86,0.08,293.93,448.01,31,55,21,16,41,Y
0,8,0,0,6,3,1,23,20.68,13.64,3845.81,0.09,60,0.07,213.66,282.03,20,40,11,15,26,N
12,10,1,8,9,2,1,58,56.89,16.95,16336.25,0.32,166,0.06,907.57,964.02,66,100,37,19,81,N
3,22,0,5,13,1,4,40,21.82,23.33,11877.81,0.17,97,0.04,659.88,509.05,42,55,18,20,50,N
4,15,0,0,8,5,6,31,24.56,21.64,11498.13,0.18,102,0.05,638.79,531.36,41,61,18,19,37,N
10,47,5,20,24,16,14,105,47.52,45.68,99158.57,0.72,369,0.02,5508.81,2170.7,143,226,36,23,143,N
1,3,0,0,2,2,1,8,22.07,3.86,328.28,0.03,23,0.26,18.24,85.11,9,14,7,6,11,N
22,21,2,25,11,7,9,74,70.92,31.2,69035.34,0.74,361,0.03,3835.3,2212.67,156,205,50,20,128,Y
25,9,0,19,5,5,1,51,63.13,14,12372.78,0.29,160,0.07,687.38,883.77,64,96,32,14,97,Y
1,9,0,1,5,1,1,22,36.37,14.75,7912.5,0.18,117,0.07,439.58,536.44,59,58,16,8,26,N
0,1,0,0,1,1,1,5,39.24,3.54,492.2,0.05,34,0.28,27.34,138.97,17,17,12,5,7,N
1,23,0,1,12,11,12,27,44.3,16.77,12464.7,0.25,131,0.06,692.48,743.09,52,79,31,20,31,Y
4,3,0,3,2,2,1,15,23.82,9.45,2127.57,0.08,53,0.11,118.2,225.14,21,32,10,9,24,N
5,13,0,2,7,5,1,49,67.78,15.47,16230.05,0.35,184,0.06,901.67,1048.88,84,100,38,14,58,N
16,17,3,8,9,4,7,36,24.54,28.75,20280.66,0.24,130,0.03,1126.7,705.41,50,80,20,23,67,N
6,35,0,15,22,18,1,88,60.41,23.61,33680.49,0.48,229,0.04,1871.14,1426.4,89,140,49,26,111,N
8,9,0,11,5,1,1,15,17.59,20,7037.23,0.12,74,0.05,390.96,351.86,32,42,12,15,36,N
5,17,0,11,9,6,1,31,38.58,13.3,6819.61,0.17,100,0.08,378.87,512.92,45,55,22,13,49,N
18,8,0,21,5,5,1,53,46.36,25.94,31194.86,0.4,208,0.04,1733.05,1202.52,84,124,34,21,94,Y
