@relation MC1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
4,7,2,0,21,10,4,0.36,4,3,0,11,4,1,11,0,0,0,16.32,10.11,1668.32,0.05,37,0.1,92.68,165,1,3,5,9,0.11,14,23,9,13,38,65.63,11,N
2,3,0,2,0,4,2,0.1,2,1,0,7,1,0,18,0,2,1,94.97,4.71,2110.57,0.15,88,0.21,117.25,447.7,0,1,2,7,0.08,44,44,28,6,24,10,20,N
4,3,2,4,2,4,2,0.13,2,2,1,6,1,0,12,0,0,0,23.17,19.08,8433.46,0.15,91,0.05,468.53,442.08,0,1,2,6,0.07,31,60,13,16,27,33.33,16,N
0,3,2,0,0,4,2,0.67,2,2,1,7,1,0,3,0,2,1,12.8,4.2,225.85,0.02,15,0.24,12.55,53.77,0,1,2,7,0.4,6,9,5,7,5,0,3,N
4,9,2,2,5,16,5,0.21,8,2,0,18,1,0,22,0,0,0,12.71,44,24612.08,0.19,122,0.02,1367.34,559.37,0,4,8,15,0.13,44,78,8,16,39,24.14,24,N
4,5,3,0,2,8,3,0.1,4,3,1,17,1,0,31,0,2,0,46.98,12.6,7458.76,0.2,112,0.08,414.38,591.97,0,2,4,16,0.08,45,67,25,14,38,6.06,31,N
6,9,3,11,2,16,1,0.04,8,1,1,24,1,0,14,0,1,1,51.89,12.22,7751.92,0.21,120,0.08,430.66,634.25,1,4,8,21,0.03,55,65,27,12,35,48.15,25,N
1,1,3,0,0,0,1,0.13,0,1,1,4,1,0,8,0,1,1,23.01,5.63,728.16,0.04,34,0.18,40.45,129.44,1,0,0,5,0.09,15,19,8,6,11,0,8,N
17,21,4,0,15,40,11,0.18,20,10,0,53,1,0,61,0,11,1,28.94,67.5,131842.41,0.65,341,0.01,7324.58,1953.22,0,10,20,44,0.12,130,211,26,27,95,19.74,61,N
2,5,2,4,0,8,3,0.3,4,2,0,12,1,0,6,0,2,0,15.23,7.94,961.39,0.04,28,0.13,53.41,121.01,0,2,4,11,0.21,13,15,9,11,14,40,10,N
19,13,1,4,16,24,7,0.16,12,2,0,34,1,0,40,0,0,0,36.91,36.02,47887.35,0.44,245,0.03,2660.41,1329.43,0,6,12,29,0.08,91,154,24,19,85,33.33,44,N
4,5,0,0,1,8,3,0.2,4,1,0,11,1,0,15,0,3,1,15.86,13.3,2805.08,0.07,46,0.08,155.84,210.91,0,2,4,10,0.14,19,27,10,14,22,6.25,15,N
1,1,3,0,0,0,1,0.2,0,1,1,4,1,0,5,0,1,1,30.58,3.82,445.8,0.04,28,0.26,24.77,116.76,1,0,0,5,0.13,12,16,11,7,8,0,5,N
6,6,2,0,3,0,1,0.05,0,1,1,15,1,0,21,0,0,0,19.91,14.4,4128.87,0.1,61,0.07,229.38,286.73,1,0,0,13,0.03,18,43,10,16,32,12.5,21,N
3,9,0,0,0,14,5,0.21,6,1,0,15,3,0,24,3,3,0,17.84,15,4013.49,0.09,60,0.07,222.97,267.57,0,4,7,12,0.16,25,35,10,12,31,0,24,N
1,5,3,0,0,8,3,0.23,4,3,1,15,1,0,13,0,0,0,17.24,7.5,969.51,0.04,31,0.13,53.86,129.27,0,2,4,14,0.19,12,19,8,10,16,0,13,N
1,5,1,1,0,8,3,0.14,4,2,0,12,1,0,20,0,2,0,24.4,15.79,6079.8,0.13,81,0.06,337.77,385.15,0,2,4,11,0.12,34,47,14,13,25,4.76,21,N
2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
9,3,6,3,2,4,2,0.13,2,2,1,10,1,0,12,0,1,0,31.67,12.63,5053.69,0.13,78,0.08,280.76,400.08,0,1,2,10,0.07,30,48,19,16,28,29.41,15,N
6,1,4,0,5,0,1,0.13,0,1,1,7,1,0,8,0,1,1,22.09,14.95,4936.79,0.11,73,0.07,274.27,330.22,1,0,0,8,0.05,23,50,10,13,21,38.46,8,N
18,11,6,0,27,28,6,0.14,14,4,0,38,1,0,42,0,0,0,49.26,38.25,72074.4,0.63,319,0.03,4004.13,1884.3,0,7,14,34,0.07,153,166,40,20,89,39.13,42,N
0,5,0,0,0,6,3,0.6,2,1,0,8,3,1,5,1,3,1,10.99,6.4,449.97,0.02,19,0.16,25,70.31,1,2,3,7,0.43,8,11,5,8,7,0,5,N
1,1,2,0,0,0,1,0.25,0,1,1,4,1,0,4,0,0,0,16.73,3.6,216.82,0.02,19,0.28,12.05,60.23,1,0,0,5,0.14,9,10,5,4,7,0,4,N
2,1,0,0,0,0,1,0.07,0,1,1,1,1,0,14,4,1,1,41.9,11.83,5858.34,0.17,100,0.08,325.46,495.42,1,0,0,2,0.04,43,57,20,11,23,0,14,N
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,N
14,11,4,1,18,20,6,0.16,10,6,1,31,1,0,37,0,0,0,38.12,38.25,55776.93,0.49,264,0.03,3098.72,1458.22,0,5,10,27,0.08,119,145,28,18,72,33.93,38,N
11,3,1,0,0,4,2,0.18,2,2,1,8,1,0,11,0,0,0,22.86,9.75,2173.32,0.07,48,0.1,120.74,222.91,0,1,2,8,0.06,18,30,12,13,31,0,11,N
8,15,10,0,7,22,8,0.3,8,5,0,35,6,0,27,0,6,0,50.39,14.03,9921.03,0.24,128,0.07,551.17,707.02,0,7,11,29,0.18,58,70,31,15,44,20.59,27,N
4,3,0,0,4,4,2,0.22,2,1,0,5,1,0,9,0,0,0,11.63,6,418.56,0.02,21,0.17,23.25,69.76,0,1,2,5,0.11,8,13,4,6,19,30.77,9,N
0,1,3,0,5,0,1,0.13,0,1,1,7,1,0,8,0,0,0,42.46,4.07,703.86,0.06,40,0.25,39.1,172.88,1,0,0,8,0.07,19,21,14,6,15,38.46,8,N
0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0.33,3,0,1,0,3,0,1,N
2,6,1,0,0,0,5,0.42,0,2,0,13,1,0,12,0,5,1,25.45,9.15,2132.75,0.08,49,0.11,118.49,232.99,0,0,0,10,0.31,17,32,13,14,16,0,12,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,1,1,1,11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,1,0,0,2,0.25,3,9,3,7,4,0,2,N
0,1,0,0,0,0,1,0.25,0,1,1,1,1,0,4,0,0,0,21.67,1.8,70.2,0.01,13,0.56,3.9,39,1,0,0,2,0.17,6,7,5,3,6,0,4,N
7,13,10,0,7,20,7,0.26,8,4,0,34,6,0,27,0,0,0,54.92,12.35,8376.79,0.23,125,0.08,465.38,678.28,0,6,10,29,0.16,57,68,30,13,43,20.59,27,N
1,1,1,0,0,0,1,0.17,0,1,1,2,1,0,6,0,0,0,15.93,4.5,322.65,0.02,20,0.22,17.92,71.7,1,0,0,3,0.11,9,11,6,6,9,0,6,N
2,5,2,0,1,8,3,0.13,4,2,0,16,1,0,23,0,0,0,19.78,20.04,7940.87,0.13,80,0.05,441.16,396.34,0,2,4,15,0.11,33,47,14,17,28,4.17,23,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,3,1,3,0,3,1,0.17,3,1,0,0,2,0.25,2,1,1,1,4,0,2,N
0,3,2,0,0,4,1,0.13,2,1,1,9,1,0,8,0,1,1,13.83,8.57,1016.03,0.04,29,0.12,56.45,118.54,1,1,2,9,0.1,12,17,7,10,10,0,8,N
1,5,2,0,1,8,3,0.38,4,3,1,10,3,1,8,0,3,1,14.72,5.6,461.74,0.03,23,0.18,25.65,82.45,1,2,4,9,0.25,8,15,5,7,12,11.11,8,N
4,5,5,0,4,8,3,0.2,4,3,1,18,1,0,15,0,0,0,43.59,6,1569.11,0.09,55,0.17,87.17,261.51,0,2,4,17,0.12,24,31,18,9,25,21.05,15,N
2,9,2,0,0,14,5,0.31,6,3,0,17,3,0,16,1,1,0,36.26,10.42,3937.39,0.13,77,0.1,218.74,377.83,0,4,7,14,0.25,36,41,19,11,20,0,16,N
11,3,5,0,5,4,2,0.13,2,2,1,15,1,0,16,0,1,0,25.41,12.54,3993.6,0.11,67,0.08,221.87,318.58,0,1,2,15,0.06,27,40,14,13,34,23.81,16,N
4,5,3,1,3,8,3,0.16,4,3,1,12,1,0,18,0,0,0,31.92,18.79,11268.26,0.2,116,0.05,626.01,599.71,0,2,4,11,0.1,42,74,19,17,30,18.18,19,N
10,9,5,1,11,16,5,0.2,8,3,0,24,1,0,24,0,5,1,30.2,31.5,29967.7,0.32,187,0.03,1664.87,951.36,0,4,8,21,0.1,63,124,17,17,48,33.33,25,N
2,9,4,0,0,16,5,0.19,8,5,1,28,1,0,27,0,1,0,38.02,17.63,11820.23,0.22,138,0.06,656.68,670.4,0,4,8,25,0.16,67,71,19,10,31,0,27,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,2,0.33,2,5,2,5,3,0,2,N
1,1,3,0,1,0,1,0.08,0,1,1,7,1,0,12,0,0,0,28.22,7.27,1491.17,0.07,46,0.14,82.84,205.13,1,0,0,8,0.06,21,25,13,9,16,7.69,12,N
6,1,3,0,4,0,1,0.05,0,1,1,4,1,0,19,0,0,0,35.77,15.32,8395.76,0.18,118,0.07,466.43,547.98,1,0,0,5,0.03,39,79,14,11,31,17.39,19,N
0,3,1,0,1,4,2,0.67,2,2,1,5,1,0,3,0,0,0,8.1,3.33,90,0.01,9,0.3,5,27,0,1,2,5,0.33,4,5,3,5,6,25,3,N
1,7,1,0,0,12,4,0.44,6,2,0,13,1,0,9,0,0,0,10.57,12.86,1747.72,0.05,32,0.08,97.1,135.93,0,3,6,11,0.33,15,17,7,12,12,0,9,N
3,11,4,0,1,16,1,0.05,6,1,1,23,1,0,20,0,0,0,21.1,18.56,7271.57,0.13,77,0.05,403.98,391.73,1,5,8,19,0.04,33,44,16,18,26,4.76,20,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
0,1,2,4,0,0,1,0.2,0,1,1,3,1,0,1,0,1,1,25.16,2.5,157.27,0.02,17,0.4,8.74,62.91,1,0,0,4,0.14,8,9,8,5,7,80,5,N
1,13,2,0,0,24,7,0.54,12,5,0,25,1,0,13,0,0,0,23.89,9.6,2201.72,0.08,55,0.1,122.32,229.35,0,6,12,20,0.44,24,31,10,8,16,0,13,N
5,7,6,1,10,12,4,0.21,6,4,1,24,1,0,18,0,0,0,51.33,9.55,4677.27,0.16,98,0.1,259.85,490,0,3,6,22,0.11,42,56,22,10,36,37.93,19,N
11,23,15,4,18,42,12,0.27,20,10,0,68,11,0,40,0,9,0,62.52,23.8,35411.97,0.5,265,0.04,1967.33,1487.9,0,11,21,58,0.16,119,146,35,14,75,35.48,44,N
1,3,0,0,0,4,2,0.29,2,1,0,7,1,0,7,0,0,0,16,6.5,676,0.03,26,0.15,37.56,104,0,1,2,7,0.2,13,13,8,8,10,0,7,N
4,1,1,0,5,4,1,0.08,2,1,1,2,1,0,12,0,0,0,55.25,3.83,811.8,0.07,49,0.26,45.1,211.77,1,1,2,3,0.04,23,26,15,5,23,29.41,12,N
16,21,3,0,93,40,11,0.22,20,8,0,49,1,0,49,0,0,0,21.75,67.36,98690.19,0.49,270,0.01,5482.79,1465.09,0,10,20,40,0.07,97,173,18,25,160,65.48,49,N
0,5,1,0,0,8,3,0.25,4,2,0,10,1,0,12,3,2,0,21.54,19.27,7995.67,0.14,83,0.05,444.2,415,0,2,4,9,0.17,34,49,15,17,18,0,12,N
2,5,3,0,2,8,3,0.33,4,2,0,11,1,0,9,0,3,1,17.13,6,616.79,0.03,27,0.17,34.27,102.8,0,2,4,10,0.2,12,15,7,7,15,18.18,9,N
8,39,4,1,16,64,1,0.02,26,1,1,71,1,0,64,0,1,1,32.06,61.5,121246.74,0.66,353,0.02,6735.93,1971.49,1,19,32,53,0.01,123,230,24,24,91,20.99,65,N
16,1,0,0,52,0,1,0.05,0,1,1,1,1,0,19,0,0,0,116.98,3,1052.81,0.12,73,0.33,58.49,350.94,1,0,0,2,0.01,36,37,24,4,89,73.24,19,N
1,3,1,0,0,4,2,0.4,2,1,0,6,1,0,5,0,1,0,12.37,6,445.39,0.02,19,0.17,24.74,74.23,0,1,2,6,0.25,6,13,5,10,8,0,5,N
1,5,2,3,0,6,3,0.43,2,2,0,9,1,0,4,0,3,1,17.76,5.06,455.24,0.03,22,0.2,25.29,89.92,0,2,3,8,0.3,9,13,8,9,10,42.86,7,N
0,3,0,0,0,4,2,0.29,2,1,0,6,1,0,7,0,0,0,10.64,8,680.88,0.03,23,0.13,37.83,85.11,0,1,2,6,0.22,10,13,5,8,9,0,7,N
20,21,14,4,16,38,11,0.28,18,10,0,62,11,1,36,0,10,0,57.99,23.06,30850.19,0.45,245,0.04,1713.9,1337.56,1,10,19,53,0.14,110,135,31,13,78,35.71,40,N
5,27,3,2,9,48,14,0.19,22,11,0,57,9,0,70,2,10,0,28.64,36.53,38223.42,0.35,204,0.03,2123.52,1046.36,0,13,24,45,0.16,69,135,17,18,89,13.58,72,N
2,5,1,0,3,8,3,0.3,4,2,0,10,1,0,10,0,0,0,14.31,15.11,3267.33,0.07,46,0.07,181.52,216.22,0,2,4,9,0.18,16,30,9,17,17,23.08,10,N
4,7,3,2,4,12,4,0.2,6,4,1,17,1,0,18,0,0,0,32.35,20.43,13494.29,0.22,125,0.05,749.68,660.68,0,3,6,15,0.13,43,82,20,19,31,25,20,N
0,1,0,0,0,0,1,0.14,0,1,1,1,1,0,7,3,1,1,27.97,6.95,1352.57,0.06,45,0.14,75.14,194.49,1,0,0,2,0.08,17,28,11,9,13,0,7,N
6,1,0,0,0,0,1,0.14,0,1,1,1,1,0,7,0,0,0,44.81,2,179.25,0.03,25,0.5,9.96,89.62,1,0,0,2,0.07,12,13,9,3,15,0,7,N
15,7,2,0,77,12,4,0.09,6,4,1,23,1,0,44,0,0,0,21.39,79.89,136544.83,0.57,319,0.01,7585.82,1709.06,0,3,6,21,0.03,138,181,19,22,138,63.64,44,N
0,1,2,0,0,0,1,0.2,0,1,1,3,1,0,5,1,0,0,15.11,6.3,599.66,0.03,25,0.16,33.31,95.18,1,0,0,4,0.14,7,18,5,9,7,0,5,N
3,3,1,0,9,4,2,0.4,2,1,0,7,1,0,5,0,0,0,14.41,3.6,186.81,0.02,15,0.28,10.38,51.89,0,1,2,7,0.11,6,9,5,6,19,64.29,5,N
2,3,1,1,6,4,2,0.17,2,2,1,5,1,0,11,0,0,0,17.84,14,3496.19,0.08,56,0.07,194.23,249.73,0,1,2,5,0.09,16,40,8,14,22,38.89,12,N
0,1,1,0,0,0,1,1,0,1,1,2,1,0,0,0,1,1,6.55,3,58.95,0.01,7,0.33,3.28,19.65,1,0,0,3,1,1,6,1,6,1,0,0,N
1,1,2,0,2,0,1,0.25,0,1,1,3,1,0,4,0,1,1,23.44,3.33,260.45,0.03,20,0.3,14.47,78.14,1,0,0,4,0.1,10,10,9,6,10,33.33,4,N
0,3,2,0,0,4,2,0.18,2,2,1,14,1,0,11,0,0,0,36.01,9.96,3573.4,0.12,83,0.1,198.52,358.72,0,1,2,14,0.15,37,46,13,7,13,0,11,N
17,7,5,0,21,12,4,0.09,6,4,1,27,1,0,44,0,4,1,33.53,50.43,85301.8,0.56,320,0.02,4738.99,1691.33,0,3,6,25,0.05,145,175,23,16,84,32.31,44,N
2,3,0,0,0,4,2,0.29,2,1,0,6,1,0,7,3,0,0,14.12,9.63,1308.36,0.05,32,0.1,72.69,135.93,0,1,2,6,0.18,14,18,8,11,11,0,7,N
2,3,1,0,0,4,2,0.14,2,1,0,6,1,0,14,1,2,1,12.34,17.5,3780,0.07,54,0.06,210,216,0,1,2,6,0.11,21,33,6,10,18,0,14,N
10,21,15,5,16,38,11,0.26,18,10,0,66,11,1,38,0,0,0,62,25.21,39410.78,0.52,283,0.04,2189.49,1563.17,1,10,19,57,0.15,128,155,33,13,71,35.59,43,N
14,9,7,8,7,16,5,0.19,8,4,0,22,1,0,19,0,3,0,55.28,6,1990.24,0.11,69,0.17,110.57,331.71,0,4,8,19,0.1,30,39,20,8,50,44.12,27,N
5,8,2,10,3,4,6,0.16,2,4,0,23,1,0,27,0,0,0,22.46,39.38,34814.92,0.29,161,0.03,1934.16,884.19,0,1,2,19,0.13,63,98,20,25,47,32.5,37,N
4,7,3,2,4,12,4,0.2,6,4,1,17,1,0,18,0,4,1,32.35,20.43,13494.29,0.22,125,0.05,749.68,660.68,0,3,6,15,0.13,43,82,20,19,31,25,20,N
0,1,0,0,0,0,1,0.25,0,1,1,1,1,0,4,1,0,0,8,4.5,162,0.01,12,0.22,9,36,1,0,0,2,0.17,3,9,2,6,6,0,4,N
