@relation PC1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
7,7,0,5,6,12,4,0.17,6,2,1,0.25,13,1,0,19,0,36.57,16,9362.4,0.2,116,0.06,520.13,585.15,0.25,3,6,11,0.11,56,60,21,12,38,36.67,24,Y
0,5,3,1,0,8,3,0.33,4,2,3,1,12,1,0,8,0,22.64,5.73,742.59,0.04,30,0.17,41.25,129.66,0.33,2,4,11,0.3,14,16,11,9,10,11.11,9,N
5,11,7,5,10,20,6,0.14,10,2,6,1,31,1,0,37,0,169.61,8.26,11574.36,0.47,221,0.12,643.02,1401.11,0.17,5,10,27,0.1,95,126,69,12,58,28.85,42,N
11,13,1,0,6,18,7,0.22,6,3,3,0.43,23,6,0.83,32,0,34.46,29.66,30303.94,0.34,182,0.03,1683.55,1021.88,0.86,6,9,18,0.14,86,96,29,20,50,15.79,32,N
8,13,6,0,7,20,7,0.25,10,2,7,1,26,5,0.67,28,2,43.76,15.87,11016.6,0.23,125,0.06,612.03,694.32,0.71,5,10,21,0.16,56,69,30,17,44,20,28,N
22,19,9,0,19,32,10,0.2,14,2.29,7,0.7,42,5,0.44,50,0,69.97,32.88,75642.93,0.77,351,0.03,4202.39,2300.66,0.5,9,16,34,0.11,155,196,66,28,92,27.54,50,N
4,3,2,0,7,4,2,0.18,2,2,1,0.5,9,1,0,11,0,19.04,16.39,5116.45,0.1,63,0.06,284.25,312.11,0.5,1,2,9,0.09,27,36,14,17,23,38.89,11,N
7,9,2,0,9,16,5,0.17,8,2,5,1,19,5,1,29,1,44.67,20.61,18980.62,0.31,164,0.05,1054.48,920.81,1,4,8,16,0.11,71,93,31,18,46,23.68,29,Y
28,27,12,0,10,44,14,0.27,18,2.44,11,0.79,57,9,0.62,51,0,68.42,21.88,32737.87,0.5,245,0.05,1818.77,1496.59,0.64,13,24,45,0.16,100,145,48,21,90,16.39,51,N
1,16,0,5,0,12,12,0.26,6,2,1,0.08,34,6,0.45,41,4,29.35,33.5,32937,0.33,178,0.03,1829.83,983.19,0.5,3,6,24,0.25,67,111,23,23,48,10.87,46,N
1,5,3,0,0,6,3,0.3,2,3,2,0.67,10,3,1,10,1,22.75,11,2752.77,0.08,51,0.09,152.93,250.25,1,2,3,9,0.25,22,29,15,15,12,0,10,N
11,11,1,1,27,20,6,0.14,10,2,3,0.5,22,1,0,43,1,47.47,22.17,23323.93,0.35,182,0.05,1295.77,1052.21,0.17,5,10,18,0.07,84,98,36,19,83,39.44,44,N
6,35,8,0,1,66,18,0.29,32,2.06,11,0.61,79,12,0.65,62,2,50.27,39.28,77553.76,0.66,319,0.03,4308.54,1974.55,0.67,17,33,63,0.16,142,177,47,26,113,1.59,62,N
1,13,1,0,1,24,7,0.41,12,2,3,0.43,25,1,0,17,3,12.97,39.75,20489.85,0.17,111,0.03,1138.33,515.47,0.14,6,12,20,0.35,53,58,10,15,20,5.56,17,N
1,7,0,0,0,12,4,0.4,6,2,1,0.25,15,1,0,10,0,6.88,24.38,4084.91,0.06,41,0.04,226.94,167.59,0.25,3,6,13,0.33,15,26,4,13,12,0,10,N
5,3,2,0,4,4,2,0.14,2,2,1,0.5,7,1,0,14,1,41.58,15.91,10529.3,0.22,129,0.06,584.96,661.68,0.5,1,2,7,0.08,61,68,23,12,24,22.22,14,N
2,17,1,0,0,30,9,0.56,14,2.14,2,0.22,31,9,1,16,0,10.13,32.58,10759.67,0.11,73,0.03,597.76,330.22,1,8,15,24,0.47,23,50,6,17,19,0,16,N
2,3,1,0,0,4,2,0.17,2,2,1,0.5,7,1,0,12,0,18.01,6.25,703.67,0.04,27,0.16,39.09,112.59,0.5,1,2,7,0.13,10,17,8,10,15,0,12,N
9,9,4,2,8,10,5,0.22,4,2.5,3,0.6,18,4,0.75,21,0,32.1,20.26,13174.23,0.22,113,0.05,731.9,650.3,0.8,3,5,15,0.07,47,66,29,25,74,32.25,23,Y
2,3,1,0,1,4,2,0.29,2,2,2,1,5,1,0,7,0,17.79,5.63,562.94,0.03,24,0.18,31.27,100.08,0.5,1,2,5,0.18,9,15,8,10,11,12.5,7,N
5,15,3,0,0,28,8,0.24,14,2,4,0.5,40,1,0,34,3,56.82,11.24,7181.41,0.21,115,0.09,398.97,638.78,0.13,7,14,34,0.2,53,62,33,14,40,0,34,N
27,11,13,2,50,20,6,0.1,10,2,4,0.67,35,1,0,61,1,164.89,6.87,7793.81,0.38,182,0.15,432.99,1133.65,0.17,5,10,31,0.04,80,102,64,11,164,46.02,63,N
